State,Year,Cases
Terengganu,2017,292
Terengganu,2018,550
Terengganu,2019,542
Kelantan,1999,444
Kelantan,2000,368
Kelantan,2001,1007
Kelantan,2002,1778
Kelantan,2003,2676
Kelantan,2004,1682
Kelantan,2005,1326
Kelantan,2006,2014
Kelantan,2007,3503
Kelantan,2008,2399
Kelantan,2009,1031
Kelantan,2010,3578
Kelantan,2011,743
Kelantan,2012,1245
Kelantan,2013,1427
Kelantan,2014,14456
Kelantan,2015,2850
Kelantan,2016,6180
Kelantan,2017,2515
Kelantan,2018,1950
Kelantan,2019,6003
Sarawak,1999,675
Sarawak,2000,784
Sarawak,2001,461
Sarawak,2002,994
Sarawak,2003,856
Sarawak,2004,568
Sarawak,2005,1411
Sarawak,2006,1821
Sarawak,2007,1845
Sarawak,2008,1517
Sarawak,2009,4490
Sarawak,2010,4240
Sarawak,2011,974
Sarawak,2012,1519
Sarawak,2013,1292
Sarawak,2014,2571
Sarawak,2015,1923
Sarawak,2016,2773
Sarawak,2017,952
Sarawak,2018,823
Sarawak,2019,2648
Sabah,1999,344
Sabah,2000,153
Sabah,2001,242
Sabah,2002,382
Sabah,2003,792
Sabah,2004,930
Sabah,2005,1901
Sabah,2006,911
Sabah,2007,1953
Sabah,2008,1045
Sabah,2009,1170
Sabah,2010,2091
Sabah,2011,402
Sabah,2012,672
Sabah,2013,724
Sabah,2014,1456
Sabah,2015,2904
Sabah,2016,3668
Sabah,2017,2560
Sabah,2018,3423
Sabah,2019,5478
W.P. Labuan,1999,0
W.P. Labuan,2000,0
W.P. Labuan,2001,0
W.P. Labuan,2002,0
W.P. Labuan,2003,0
W.P. Labuan,2004,18
W.P. Labuan,2005,36
W.P. Labuan,2006,14
W.P. Labuan,2007,29
W.P. Labuan,2008,70
W.P. Labuan,2009,25
W.P. Labuan,2010,19
W.P. Labuan,2011,16
W.P. Labuan,2012,10
W.P. Labuan,2013,14
W.P. Labuan,2014,11
W.P. Labuan,2015,2
W.P. Labuan,2016,13
W.P. Labuan,2017,91
W.P. Labuan,2018,102
W.P. Labuan,2019,36
MALAYSIA,1999,10146
MALAYSIA,2000,7103
MALAYSIA,2001,16368
MALAYSIA,2002,32767
MALAYSIA,2003,31545
MALAYSIA,2004,33895
MALAYSIA,2005,39686
MALAYSIA,2006,38556
MALAYSIA,2007,48846
MALAYSIA,2008,49335
MALAYSIA,2009,41486
MALAYSIA,2010,46171
MALAYSIA,2011,19884
MALAYSIA,2012,21900
MALAYSIA,2013,43346
MALAYSIA,2014,108698
MALAYSIA,2015,120836
MALAYSIA,2016,101357
MALAYSIA,2017,83849
MALAYSIA,2018,80615
MALAYSIA,2019,130101
